,precision,recall,f1-score,support
American Amber / Red Ale,0.3125,0.25,0.2777777777777778,20.0
American Blonde Ale,0.1111111111111111,0.07142857142857142,0.08695652173913043,14.0
American Brown Ale,0.6666666666666666,0.18181818181818182,0.28571428571428575,11.0
American Double / Imperial IPA,0.7368421052631579,0.6363636363636364,0.6829268292682926,22.0
American IPA,0.7580645161290323,0.746031746031746,0.752,63.0
American Pale Ale (APA),0.36585365853658536,0.39473684210526316,0.37974683544303794,38.0
American Pale Wheat Ale,0.1,0.07692307692307693,0.08695652173913043,13.0
American Porter,0.14285714285714285,0.07692307692307693,0.1,13.0
Fruit / Vegetable Beer,0.0,0.0,0.0,8.0
K̦lsch,0.14285714285714285,0.3333333333333333,0.2,3.0
other,0.5098039215686274,0.6141732283464567,0.5571428571428572,127.0
accuracy,0.49698795180722893,0.49698795180722893,0.49698795180722893,0.49698795180722893
macro avg,0.3496869331808606,0.3074301539339403,0.30992923898404656,332.0
weighted avg,0.4859660574401433,0.49698795180722893,0.4835366013049698,332.0
